country,year,sex,age,suicides_no,population,HDI for year,gdp_for_year ($),generation
Albania,1995,male,75+ years,1,25100,0.619,2424499009,Generation A
Albania,1995,male,35-54 years,14,375900,0.619,2424499009,Boomers
Albania,1995,female,25-34 years,7,264000,0.619,2424499009,Generation X
Albania,1995,female,35-54 years,8,356400,0.619,2424499009,Boomers
Albania,1995,male,5-14 years,6,376500,0.619,2424499009,Millennials
Albania,1995,female,55-74 years,2,180400,0.619,2424499009,Silent
Albania,1995,female,5-14 years,2,348700,0.619,2424499009,Millennials
Albania,1996,male,75+ years,2,25400,0.0,3314898292,Generation A
Albania,1996,male,15-24 years,17,243600,0.0,3314898292,Millennials
Albania,1996,male,25-34 years,14,235300,0.0,3314898292,Generation X
Albania,1996,female,15-24 years,16,287700,0.0,3314898292,Millennials
Albania,1996,female,75+ years,2,41200,0.0,3314898292,Generation A
Albania,1996,female,25-34 years,1,267900,0.0,3314898292,Generation X
Albania,1996,male,35-54 years,12,379600,0.0,3314898292,Boomers
Albania,1996,female,35-54 years,9,362000,0.0,3314898292,Boomers
Albania,1996,male,55-74 years,3,179900,0.0,3314898292,Silent
Albania,1996,female,55-74 years,1,183100,0.0,3314898292,Silent
Albania,1996,male,5-14 years,2,380400,0.0,3314898292,Millennials
Albania,1996,female,5-14 years,1,354100,0.0,3314898292,Millennials
Albania,1997,male,25-34 years,36,236000,0.0,2359903108,Generation X
Albania,1997,male,15-24 years,33,244400,0.0,2359903108,Millennials
Albania,1997,male,75+ years,3,25400,0.0,2359903108,Generation A
Albania,1997,male,35-54 years,3,380800,0.0,2359903108,Boomers
Albania,1997,female,15-24 years,21,294000,0.0,2359903108,Millennials
Albania,1997,male,55-74 years,12,180300,0.0,2359903108,Silent
Albania,1997,female,25-34 years,16,273900,0.0,2359903108,Generation X
Albania,1997,female,75+ years,2,42100,0.0,2359903108,Generation A
Albania,1997,female,35-54 years,7,370100,0.0,2359903108,Boomers
Albania,1997,female,5-14 years,6,361800,0.0,2359903108,Millennials
Albania,1997,male,5-14 years,4,381500,0.0,2359903108,Millennials
Albania,1997,female,55-74 years,0,187000,0.0,2359903108,Silent
Albania,1998,male,75+ years,3,25800,0.0,2707123772,Generation A
Albania,1998,male,15-24 years,27,248800,0.0,2707123772,Millennials
Albania,1998,female,15-24 years,32,295600,0.0,2707123772,Millennials
Albania,1998,male,25-34 years,26,240400,0.0,2707123772,Generation X
Albania,1998,male,35-54 years,29,388200,0.0,2707123772,Boomers
Albania,1998,male,55-74 years,9,183800,0.0,2707123772,Silent
Albania,1998,female,25-34 years,1,275300,0.0,2707123772,Generation X
Albania,1998,female,55-74 years,6,188200,0.0,2707123772,Silent
Albania,1998,female,35-54 years,9,372100,0.0,2707123772,Boomers
Albania,1998,male,5-14 years,2,388400,0.0,2707123772,Millennials
Albania,1998,female,5-14 years,1,363800,0.0,2707123772,Millennials
Albania,1998,female,75+ years,0,42300,0.0,2707123772,Generation A
Albania,1999,male,75+ years,3,25900,0.0,3414760915,Generation A
Albania,1999,male,15-24 years,24,250600,0.0,3414760915,Millennials
Albania,1999,female,75+ years,4,42400,0.0,3414760915,Generation A
Albania,1999,male,35-54 years,31,391100,0.0,3414760915,Boomers
Albania,1999,male,25-34 years,19,242300,0.0,3414760915,Generation X
Albania,1999,male,55-74 years,14,185200,0.0,3414760915,Silent
Albania,1999,female,15-24 years,19,296800,0.0,3414760915,Millennials
Albania,1999,female,25-34 years,13,276500,0.0,3414760915,Generation X
Albania,1999,female,55-74 years,6,188800,0.0,3414760915,Silent
Albania,1999,female,35-54 years,5,373600,0.0,3414760915,Boomers
Albania,1999,female,5-14 years,1,365200,0.0,3414760915,Millennials
Albania,1999,male,5-14 years,0,391300,0.0,3414760915,Millennials
Albania,2000,male,25-34 years,17,232000,0.6559999999999999,3632043908,Generation X
Albania,2000,male,55-74 years,1,177400,0.6559999999999999,3632043908,Silent
Albania,2000,female,75+ years,2,37800,0.6559999999999999,3632043908,Generation A
Albania,2000,male,75+ years,1,24900,0.6559999999999999,3632043908,Generation A
Albania,2000,female,15-24 years,6,263900,0.6559999999999999,3632043908,Millennials
Albania,2000,male,15-24 years,5,240000,0.6559999999999999,3632043908,Millennials
Albania,2000,female,35-54 years,5,332200,0.6559999999999999,3632043908,Generation X
Albania,2000,female,25-34 years,3,245800,0.6559999999999999,3632043908,Generation X
Albania,2000,male,35-54 years,4,374700,0.6559999999999999,3632043908,Generation X
Albania,2000,male,5-14 years,1,374900,0.6559999999999999,3632043908,Millennials
Albania,2000,female,5-14 years,0,324700,0.6559999999999999,3632043908,Millennials
Albania,2000,female,55-74 years,0,168000,0.6559999999999999,3632043908,Silent
Albania,2001,male,25-34 years,22,206484,0.0,4060758804,Generation X
Albania,2001,male,35-54 years,34,378826,0.0,4060758804,Generation X
Albania,2001,male,55-74 years,11,196670,0.0,4060758804,Boomers
Albania,2001,female,75+ years,2,47254,0.0,4060758804,Generation A
Albania,2001,male,15-24 years,1,256039,0.0,4060758804,Millennials
Albania,2001,female,15-24 years,9,271359,0.0,4060758804,Millennials
Albania,2001,female,35-54 years,12,370191,0.0,4060758804,Generation X
Albania,2001,male,75+ years,1,31044,0.0,4060758804,Generation A
Albania,2001,female,55-74 years,6,189799,0.0,4060758804,Boomers
Albania,2001,male,5-14 years,6,321556,0.0,4060758804,Generation Z
Albania,2001,female,25-34 years,4,222771,0.0,4060758804,Generation X
Albania,2001,female,5-14 years,2,307356,0.0,4060758804,Generation Z
Albania,2002,male,75+ years,4,31007,0.0,4435078648,Generation A
Albania,2002,male,25-34 years,23,206286,0.0,4435078648,Generation X
Albania,2002,male,35-54 years,35,382139,0.0,4435078648,Generation X
Albania,2002,male,55-74 years,13,198130,0.0,4435078648,Boomers
Albania,2002,male,15-24 years,15,263067,0.0,4435078648,Millennials
Albania,2002,female,15-24 years,14,275970,0.0,4435078648,Millennials
Albania,2002,female,35-54 years,15,375113,0.0,4435078648,Generation X
Albania,2002,female,25-34 years,7,223685,0.0,4435078648,Generation X
Albania,2002,female,75+ years,1,47407,0.0,4435078648,Generation A
Albania,2002,female,55-74 years,4,191712,0.0,4435078648,Boomers
Albania,2002,female,5-14 years,1,304850,0.0,4435078648,Generation Z
Albania,2002,male,5-14 years,1,319473,0.0,4435078648,Generation Z
Albania,2003,female,75+ years,6,49088,0.0,5746945913,Generation A
Albania,2003,male,55-74 years,16,201520,0.0,5746945913,Boomers
Albania,2003,male,35-54 years,28,386196,0.0,5746945913,Generation X
Albania,2003,male,15-24 years,15,273235,0.0,5746945913,Millennials
Albania,2003,female,15-24 years,14,283709,0.0,5746945913,Millennials
Albania,2003,female,55-74 years,9,195699,0.0,5746945913,Boomers
Albania,2003,male,25-34 years,9,205433,0.0,5746945913,Generation X
Albania,2003,female,25-34 years,9,222941,0.0,5746945913,Generation X
Albania,2003,female,35-54 years,13,381760,0.0,5746945913,Generation X
Albania,2003,male,75+ years,1,32667,0.0,5746945913,Generation A
Albania,2003,male,5-14 years,4,313204,0.0,5746945913,Generation Z
Albania,2003,female,5-14 years,0,298477,0.0,5746945913,Generation Z
Albania,2004,male,75+ years,4,35526,0.0,7314865176,Generation A
Albania,2004,male,35-54 years,39,391767,0.0,7314865176,Generation X
Albania,2004,male,25-34 years,16,203938,0.0,7314865176,Generation X
Albania,2004,female,15-24 years,2,292268,0.0,7314865176,Millennials
Albania,2004,male,15-24 years,19,286768,0.0,7314865176,Millennials
Albania,2004,female,75+ years,3,50970,0.0,7314865176,Generation A
Albania,2004,female,25-34 years,11,222389,0.0,7314865176,Generation X
Albania,2004,male,55-74 years,1,207202,0.0,7314865176,Boomers
Albania,2004,female,35-54 years,17,391436,0.0,7314865176,Generation X
Albania,2004,female,55-74 years,3,203841,0.0,7314865176,Boomers
Albania,2004,female,5-14 years,3,286705,0.0,7314865176,Generation Z
Albania,2004,male,5-14 years,1,302181,0.0,7314865176,Generation Z
Albania,2005,female,15-24 years,0,281922,0.695,8158548717,Millennials
Albania,2005,female,25-34 years,0,190745,0.695,8158548717,Generation X
Albania,2005,female,35-54 years,0,386513,0.695,8158548717,Generation X
Albania,2005,female,5-14 years,0,276559,0.695,8158548717,Generation Z
Albania,2005,female,55-74 years,0,210998,0.695,8158548717,Boomers
Albania,2005,female,75+ years,0,53191,0.695,8158548717,Generation A
Albania,2005,male,15-24 years,0,281675,0.695,8158548717,Millennials
Albania,2005,male,25-34 years,0,177519,0.695,8158548717,Generation X
Albania,2005,male,35-54 years,0,380242,0.695,8158548717,Generation X
Albania,2005,male,5-14 years,0,291367,0.695,8158548717,Generation Z
Albania,2005,male,55-74 years,0,214118,0.695,8158548717,Boomers
Albania,2005,male,75+ years,0,38471,0.695,8158548717,Generation A
Albania,2006,female,15-24 years,0,283138,0.0,8992642349,Millennials
Albania,2006,female,25-34 years,0,186391,0.0,8992642349,Millennials
Albania,2006,female,35-54 years,0,388746,0.0,8992642349,Generation X
Albania,2006,female,5-14 years,0,267316,0.0,8992642349,Generation Z
Albania,2006,female,55-74 years,0,215907,0.0,8992642349,Boomers
Albania,2006,female,75+ years,0,56011,0.0,8992642349,Generation A
Albania,2006,male,15-24 years,0,286679,0.0,8992642349,Millennials
Albania,2006,male,25-34 years,0,174092,0.0,8992642349,Millennials
Albania,2006,male,35-54 years,0,379076,0.0,8992642349,Generation X
Albania,2006,male,5-14 years,0,282678,0.0,8992642349,Generation Z
Albania,2006,male,55-74 years,0,219360,0.0,8992642349,Boomers
Albania,2006,male,75+ years,0,40782,0.0,8992642349,Generation A
Albania,2007,male,75+ years,8,42366,0.0,10701011897,Generation A
Albania,2007,male,35-54 years,29,378626,0.0,10701011897,Generation X
Albania,2007,male,55-74 years,14,224160,0.0,10701011897,Boomers
Albania,2007,female,75+ years,3,57404,0.0,10701011897,Generation A
Albania,2007,male,25-34 years,9,172494,0.0,10701011897,Millennials
Albania,2007,female,15-24 years,13,281080,0.0,10701011897,Millennials
Albania,2007,male,15-24 years,13,288349,0.0,10701011897,Millennials
Albania,2007,female,25-34 years,8,183629,0.0,10701011897,Millennials
Albania,2007,female,55-74 years,9,221120,0.0,10701011897,Boomers
Albania,2007,female,35-54 years,14,391811,0.0,10701011897,Generation X
Albania,2007,male,5-14 years,4,272497,0.0,10701011897,Generation Z
Albania,2007,female,5-14 years,0,256808,0.0,10701011897,Generation Z
Albania,2008,male,25-34 years,21,172855,0.0,12881352688,Millennials
Albania,2008,male,35-54 years,37,377119,0.0,12881352688,Generation X
Albania,2008,male,55-74 years,21,228672,0.0,12881352688,Boomers
Albania,2008,female,75+ years,5,59369,0.0,12881352688,Generation A
Albania,2008,female,15-24 years,2,276073,0.0,12881352688,Millennials
Albania,2008,female,25-34 years,9,182663,0.0,12881352688,Millennials
Albania,2008,female,35-54 years,19,393832,0.0,12881352688,Generation X
Albania,2008,male,75+ years,2,44574,0.0,12881352688,Generation A
Albania,2008,male,15-24 years,11,286702,0.0,12881352688,Millennials
Albania,2008,female,55-74 years,7,226448,0.0,12881352688,Boomers
Albania,2008,male,5-14 years,7,262464,0.0,12881352688,Generation Z
Albania,2008,female,5-14 years,1,246288,0.0,12881352688,Generation Z
Albania,2009,female,15-24 years,0,270003,0.0,12044212904,Millennials
Albania,2009,female,25-34 years,0,182712,0.0,12044212904,Millennials
Albania,2009,female,35-54 years,0,394286,0.0,12044212904,Generation X
Albania,2009,female,5-14 years,0,236174,0.0,12044212904,Generation Z
Albania,2009,female,55-74 years,0,233302,0.0,12044212904,Boomers
Albania,2009,female,75+ years,0,61582,0.0,12044212904,Generation A
Albania,2009,male,15-24 years,0,283448,0.0,12044212904,Millennials
Albania,2009,male,25-34 years,0,174955,0.0,12044212904,Millennials
Albania,2009,male,35-54 years,0,374365,0.0,12044212904,Generation X
Albania,2009,male,5-14 years,0,253007,0.0,12044212904,Generation Z
Albania,2009,male,55-74 years,0,234570,0.0,12044212904,Boomers
Albania,2009,male,75+ years,0,47331,0.0,12044212904,Generation A
Albania,2010,male,55-74 years,2,241852,0.722,11926953259,Boomers
Albania,2010,male,35-54 years,2,371611,0.722,11926953259,Generation X
Albania,2010,male,25-34 years,9,179720,0.722,11926953259,Millennials
Albania,2010,male,75+ years,2,50767,0.722,11926953259,Generation A
Albania,2010,male,15-24 years,1,279508,0.722,11926953259,Millennials
Albania,2010,female,25-34 years,6,183579,0.722,11926953259,Millennials
Albania,2010,female,75+ years,2,64415,0.722,11926953259,Generation A
Albania,2010,female,35-54 years,12,394593,0.722,11926953259,Generation X
Albania,2010,female,55-74 years,7,241491,0.722,11926953259,Boomers
Albania,2010,female,15-24 years,6,263581,0.722,11926953259,Millennials
Albania,2010,female,5-14 years,2,223969,0.722,11926953259,Generation Z
Albania,2010,male,5-14 years,0,240939,0.722,11926953259,Generation Z
Antigua and Barbuda,1985,female,15-24 years,0,7709,0.0,240923926,Generation X
Antigua and Barbuda,1985,female,25-34 years,0,6344,0.0,240923926,Boomers
Antigua and Barbuda,1985,female,35-54 years,0,6173,0.0,240923926,Boomers
Antigua and Barbuda,1985,female,5-14 years,0,7339,0.0,240923926,Generation X
Antigua and Barbuda,1985,female,55-74 years,0,3778,0.0,240923926,Silent
Antigua and Barbuda,1985,female,75+ years,0,949,0.0,240923926,Generation A
Antigua and Barbuda,1985,male,15-24 years,0,7667,0.0,240923926,Generation X
Antigua and Barbuda,1985,male,25-34 years,0,6194,0.0,240923926,Boomers
Antigua and Barbuda,1985,male,35-54 years,0,5970,0.0,240923926,Boomers
Antigua and Barbuda,1985,male,5-14 years,0,7304,0.0,240923926,Generation X
Antigua and Barbuda,1985,male,55-74 years,0,2723,0.0,240923926,Silent
Antigua and Barbuda,1985,male,75+ years,0,424,0.0,240923926,Generation A
Antigua and Barbuda,1986,female,15-24 years,0,7668,0.0,290440148,Generation X
Antigua and Barbuda,1986,female,25-34 years,0,6209,0.0,290440148,Boomers
Antigua and Barbuda,1986,female,35-54 years,0,6101,0.0,290440148,Boomers
Antigua and Barbuda,1986,female,5-14 years,0,6907,0.0,290440148,Millennials
Antigua and Barbuda,1986,female,55-74 years,0,3764,0.0,290440148,Silent
Antigua and Barbuda,1986,female,75+ years,0,1014,0.0,290440148,Generation A
Antigua and Barbuda,1986,male,15-24 years,0,7563,0.0,290440148,Generation X
Antigua and Barbuda,1986,male,25-34 years,0,6023,0.0,290440148,Boomers
Antigua and Barbuda,1986,male,35-54 years,0,5947,0.0,290440148,Boomers
Antigua and Barbuda,1986,male,5-14 years,0,6827,0.0,290440148,Millennials
Antigua and Barbuda,1986,male,55-74 years,0,2771,0.0,290440148,Silent
Antigua and Barbuda,1986,male,75+ years,0,476,0.0,290440148,Generation A
Antigua and Barbuda,1987,female,15-24 years,0,7583,0.0,337174852,Generation X
Antigua and Barbuda,1987,female,25-34 years,0,6101,0.0,337174852,Boomers
Antigua and Barbuda,1987,female,35-54 years,0,6059,0.0,337174852,Boomers
Antigua and Barbuda,1987,female,5-14 years,0,6623,0.0,337174852,Millennials
Antigua and Barbuda,1987,female,55-74 years,0,3738,0.0,337174852,Silent
Antigua and Barbuda,1987,female,75+ years,0,1081,0.0,337174852,Generation A
Antigua and Barbuda,1987,male,15-24 years,0,7421,0.0,337174852,Generation X
Antigua and Barbuda,1987,male,25-34 years,0,5893,0.0,337174852,Boomers
Antigua and Barbuda,1987,male,35-54 years,0,5927,0.0,337174852,Boomers
Antigua and Barbuda,1987,male,5-14 years,0,6499,0.0,337174852,Millennials
Antigua and Barbuda,1987,male,55-74 years,0,2798,0.0,337174852,Silent
Antigua and Barbuda,1987,male,75+ years,0,538,0.0,337174852,Generation A
Antigua and Barbuda,1988,female,15-24 years,0,7413,0.0,398637741,Generation X
Antigua and Barbuda,1988,female,25-34 years,0,6041,0.0,398637741,Boomers
Antigua and Barbuda,1988,female,35-54 years,0,6021,0.0,398637741,Boomers
Antigua and Barbuda,1988,female,5-14 years,0,6527,0.0,398637741,Millennials
Antigua and Barbuda,1988,female,55-74 years,0,3708,0.0,398637741,Silent
Antigua and Barbuda,1988,female,75+ years,0,1141,0.0,398637741,Generation A
Antigua and Barbuda,1988,male,15-24 years,0,7209,0.0,398637741,Generation X
Antigua and Barbuda,1988,male,25-34 years,0,5826,0.0,398637741,Boomers
Antigua and Barbuda,1988,male,35-54 years,0,5907,0.0,398637741,Boomers
Antigua and Barbuda,1988,male,5-14 years,0,6355,0.0,398637741,Millennials
Antigua and Barbuda,1988,male,55-74 years,0,2813,0.0,398637741,Silent
Antigua and Barbuda,1988,male,75+ years,0,603,0.0,398637741,Generation A
Antigua and Barbuda,1989,female,15-24 years,0,7152,0.0,438794778,Generation X
Antigua and Barbuda,1989,female,25-34 years,0,6059,0.0,438794778,Boomers
Antigua and Barbuda,1989,female,35-54 years,0,5969,0.0,438794778,Boomers
Antigua and Barbuda,1989,female,5-14 years,0,6621,0.0,438794778,Millennials
Antigua and Barbuda,1989,female,55-74 years,0,3696,0.0,438794778,Silent
Antigua and Barbuda,1989,female,75+ years,0,1195,0.0,438794778,Generation A
Antigua and Barbuda,1989,male,15-24 years,0,6927,0.0,438794778,Generation X
Antigua and Barbuda,1989,male,25-34 years,0,5835,0.0,438794778,Boomers
Antigua and Barbuda,1989,male,35-54 years,0,5862,0.0,438794778,Boomers
Antigua and Barbuda,1989,male,5-14 years,0,6403,0.0,438794778,Millennials
Antigua and Barbuda,1989,male,55-74 years,0,2843,0.0,438794778,Silent
Antigua and Barbuda,1989,male,75+ years,0,676,0.0,438794778,Generation A
Antigua and Barbuda,1990,male,35-54 years,1,5799,0.0,459469074,Boomers
Antigua and Barbuda,1990,female,15-24 years,0,6827,0.0,459469074,Generation X
Antigua and Barbuda,1990,female,25-34 years,0,6172,0.0,459469074,Generation X
Antigua and Barbuda,1990,female,35-54 years,0,5895,0.0,459469074,Boomers
Antigua and Barbuda,1990,female,5-14 years,0,6877,0.0,459469074,Millennials
Antigua and Barbuda,1990,female,55-74 years,0,3706,0.0,459469074,Silent
Antigua and Barbuda,1990,female,75+ years,0,1252,0.0,459469074,Generation A
Antigua and Barbuda,1990,male,15-24 years,0,6598,0.0,459469074,Generation X
Antigua and Barbuda,1990,male,25-34 years,0,5937,0.0,459469074,Generation X
Antigua and Barbuda,1990,male,5-14 years,0,6611,0.0,459469074,Millennials
Antigua and Barbuda,1990,male,55-74 years,0,2902,0.0,459469074,Silent
Antigua and Barbuda,1990,male,75+ years,0,758,0.0,459469074,Generation A
Antigua and Barbuda,1991,female,15-24 years,0,6595,0.0,481706333,Generation X
Antigua and Barbuda,1991,female,25-34 years,0,6396,0.0,481706333,Generation X
Antigua and Barbuda,1991,female,35-54 years,0,6198,0.0,481706333,Boomers
Antigua and Barbuda,1991,female,5-14 years,0,7089,0.0,481706333,Millennials
Antigua and Barbuda,1991,female,55-74 years,0,3665,0.0,481706333,Silent
Antigua and Barbuda,1991,female,75+ years,0,1293,0.0,481706333,Generation A
Antigua and Barbuda,1991,male,15-24 years,0,6401,0.0,481706333,Generation X
Antigua and Barbuda,1991,male,25-34 years,0,6156,0.0,481706333,Generation X
Antigua and Barbuda,1991,male,35-54 years,0,6122,0.0,481706333,Boomers
Antigua and Barbuda,1991,male,5-14 years,0,6818,0.0,481706333,Millennials
Antigua and Barbuda,1991,male,55-74 years,0,2857,0.0,481706333,Silent
Antigua and Barbuda,1991,male,75+ years,0,804,0.0,481706333,Generation A
Antigua and Barbuda,1992,female,15-24 years,0,6369,0.0,499281148,Generation X
Antigua and Barbuda,1992,female,25-34 years,0,6650,0.0,499281148,Generation X
Antigua and Barbuda,1992,female,35-54 years,0,6534,0.0,499281148,Boomers
Antigua and Barbuda,1992,female,5-14 years,0,7311,0.0,499281148,Millennials
Antigua and Barbuda,1992,female,55-74 years,0,3648,0.0,499281148,Silent
Antigua and Barbuda,1992,female,75+ years,0,1339,0.0,499281148,Generation A
Antigua and Barbuda,1992,male,15-24 years,0,6221,0.0,499281148,Generation X
Antigua and Barbuda,1992,male,25-34 years,0,6409,0.0,499281148,Generation X
Antigua and Barbuda,1992,male,35-54 years,0,6497,0.0,499281148,Boomers
Antigua and Barbuda,1992,male,5-14 years,0,7059,0.0,499281148,Millennials
Antigua and Barbuda,1992,male,55-74 years,0,2851,0.0,499281148,Silent
Antigua and Barbuda,1992,male,75+ years,0,853,0.0,499281148,Generation A
Antigua and Barbuda,1993,male,25-34 years,1,6668,0.0,535172778,Generation X
Antigua and Barbuda,1993,female,15-24 years,0,6182,0.0,535172778,Generation X
Antigua and Barbuda,1993,female,25-34 years,0,6914,0.0,535172778,Generation X
Antigua and Barbuda,1993,female,35-54 years,0,6917,0.0,535172778,Boomers
Antigua and Barbuda,1993,female,5-14 years,0,7529,0.0,535172778,Millennials
Antigua and Barbuda,1993,female,55-74 years,0,3662,0.0,535172778,Silent
Antigua and Barbuda,1993,female,75+ years,0,1386,0.0,535172778,Generation A
Antigua and Barbuda,1993,male,15-24 years,0,6069,0.0,535172778,Generation X
Antigua and Barbuda,1993,male,35-54 years,0,6915,0.0,535172778,Boomers
Antigua and Barbuda,1993,male,5-14 years,0,7298,0.0,535172778,Millennials
Antigua and Barbuda,1993,male,55-74 years,0,2879,0.0,535172778,Silent
Antigua and Barbuda,1993,male,75+ years,0,896,0.0,535172778,Generation A
Antigua and Barbuda,1994,female,15-24 years,0,6083,0.0,589429593,Generation X
Antigua and Barbuda,1994,female,25-34 years,0,7151,0.0,589429593,Generation X
Antigua and Barbuda,1994,female,35-54 years,0,7357,0.0,589429593,Boomers
Antigua and Barbuda,1994,female,5-14 years,0,7722,0.0,589429593,Millennials
Antigua and Barbuda,1994,female,55-74 years,0,3715,0.0,589429593,Silent
Antigua and Barbuda,1994,female,75+ years,0,1437,0.0,589429593,Generation A
Antigua and Barbuda,1994,male,15-24 years,0,5976,0.0,589429593,Generation X
Antigua and Barbuda,1994,male,25-34 years,0,6886,0.0,589429593,Generation X
Antigua and Barbuda,1994,male,35-54 years,0,7359,0.0,589429593,Boomers
Antigua and Barbuda,1994,male,5-14 years,0,7494,0.0,589429593,Millennials
Antigua and Barbuda,1994,male,55-74 years,0,2935,0.0,589429593,Silent
Antigua and Barbuda,1994,male,75+ years,0,929,0.0,589429593,Generation A
Antigua and Barbuda,1995,female,15-24 years,0,6099,0.0,577280741,Generation X
Antigua and Barbuda,1995,female,25-34 years,0,7333,0.0,577280741,Generation X
Antigua and Barbuda,1995,female,35-54 years,0,7851,0.0,577280741,Boomers
Antigua and Barbuda,1995,female,5-14 years,0,7885,0.0,577280741,Millennials
Antigua and Barbuda,1995,female,55-74 years,0,3808,0.0,577280741,Silent
